Дата,Номер,ТранспортноеСредство,Колонна,Водитель,ДатаВыезда,ДатаВозвращения,СпидометрВыезда,СпидометрВозвращения,ОстатокПриВыезде,ОстатокПриВозвращении,Пробег,Выдано,Сдано,ПробегПоGPS,ОстатокПриВыездеGPS,ОстатокПриВозвращенииGPS,ВыданоGPS,ВсегоЗаправокGPS,СданоGPS,ВсегоСливовGPS
01.01.2021 7:00:00,"000235***""",6806НР52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,11211,11218,31,80,,80,,,,,,,,
01.01.2021 7:00:00,000289*,7194НР52,Тракторы с навесным оборудованием (баровая),Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,5768,5772,22,40,,40,,,,,,,,
01.01.2021 7:00:00,002433//,6810НР52,"Экскаваторы-погрузчики ковши: 1куб.м/ 0,5 куб.м",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,15591,15598,45,126,,150,,,,,,,,
01.01.2021 7:00:00,002434//,6807НР52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,12093,12098,90,66,,,,,,,,,,
01.01.2021 7:00:00,002435//,5913НР52,Тракторы с навесным оборудованием (насос),Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,19672,19674,49,44,,,,,,,,,,
01.01.2021 7:00:00,009658//,С770СА152,Манипуляторы бортовые г/п до 5 тонн,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,5464,5464,,,,,,,,,,,,
01.01.2021 7:00:00,010074*,А742УА152,Бортовые а/м г/п до 10 тонн,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,5968,5968,,,,,,,,,,,,
01.01.2021 7:00:00,013434//,Р103ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,27113,27149,38,37,,,,,,,,,,
01.01.2021 7:00:00,013434//,Р103ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,27113,27149,375,363,36,,,,,,,,,
01.01.2021 7:00:00,013435//,О082ХМ152,Гидравлические станции (мастерские),Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,19145,19145,,,,,,,,,,,,
01.01.2021 7:00:00,013436//,О173АК152,АСМ,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,39320,39341,64,58,,,,,,,,,,
01.01.2021 7:00:00,013437//,О799АВ 152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,31798,31812,20,54,,40,,,,,,,,
01.01.2021 7:00:00,013438//,С032АР152,Самосвалы для перевозки грузов весом до 15 тонн,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,36782,36847,102,165,,100,,,,,,,,
01.01.2021 7:00:00,013439//,К352ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,383021,383130,39,19,,,,,,,,,,
01.01.2021 7:00:00,013440//,К360ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,328249,328318,45,49,,20,,,,,,,,
01.01.2021 7:00:00,013441//,С315ВО152,Подпиточные машины,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,4440,4440,,,,,,,,,,,,
01.01.2021 7:00:00,013465//,О351АЕ 152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,80440,80482,25,44,,30,,,,,,,,
01.01.2021 7:00:00,016830//,К357ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,383976,383995,52,45,,,,,,,,,,
01.01.2021 7:00:00,"029265***""",К356ОР152,Бортовые а/м г/п до 10 тонн,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,99490,99490,,,,,,,,,,,,
01.01.2021 7:00:00,"029334***""",К362ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,293075,293126,26,39,,25,,,,,,,,
01.01.2021 7:00:00,"029421***""",К355ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,82347,82440,38,41,,20,,,,,,,,
01.01.2021 7:00:00,029565*,К856СХ152,"АРТК с оборудованием на базе а/м г/м от 3,5тн",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,63795,63795,,,,,,,,,,,,
01.01.2021 7:00:00,"029703***""",О016АВ152,АСМ,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,45084,45084,,,,,,,,,,,,
01.01.2021 7:00:00,"029712***""",О540УН152,Самосвалы для перевозки грузов весом до 15 тонн,Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,85223,85265,89,173,,100,,,,,,,,
01.01.2021 7:00:00,"029715***""",К218ОТ152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,99023,99089,27,48,,40,,,,,,,,
01.01.2021 7:00:00,"029723***""",О079ХМ152,Гидравлические станции (мастерские),Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,26994,27022,79,69,,,,,,,,,,
01.01.2021 7:00:00,"029740***""",С963АМ152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 7:00:00,01.01.2021 19:00:00,37175,37253,236,211,78,,,,,,,,,
01.01.2021 7:10:00,"029124***""",С517АМ152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 7:10:00,01.01.2021 16:30:00,33335,33369,151,144,34,,,,,,,,,
01.01.2021 7:40:00,"029547***""",Р049ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,01.01.2021 7:40:00,01.01.2021 19:40:00,23821,23858,18,17,,,,,,,,,,
01.01.2021 7:40:00,"029547***""",Р049ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,01.01.2021 7:40:00,01.01.2021 19:40:00,23821,23858,63,111,37,60,,,,,,,,
01.01.2021 7:40:00,"029631***""",Р071ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,01.01.2021 7:40:00,01.01.2021 20:00:00,22750,22802,28,27,,,,,,,,,,
01.01.2021 7:40:00,"029631***""",Р071ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,01.01.2021 7:40:00,01.01.2021 20:00:00,22750,22802,105,88,52,,,,,,,,,
01.01.2021 19:00:00,"000237****""",7192НР52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,11153,11157,92,75,,,,,,,,,,
01.01.2021 19:00:00,000290*,7194НР52,Тракторы с навесным оборудованием (баровая),Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,5772,5772,,,,,,,,,,,,
01.01.2021 19:00:00,000335*,62-09НН52,Тракторы с навесным оборудованием (насос),Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,8246,8246,,,,,,,,,,,,
01.01.2021 19:00:00,002437//,6810НР52,"Экскаваторы-погрузчики ковши: 1куб.м/ 0,5 куб.м",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,15598,15602,126,86,,,,,,,,,,
01.01.2021 19:00:00,002439//,6807НР52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,12098,12104,66,90,,50,,,,,,,,
01.01.2021 19:00:00,002440//,5913НР52,Тракторы с навесным оборудованием (насос),Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,19674,19674,,,,,,,,,,,,
01.01.2021 19:00:00,009721//,С988АМ152,Автокраны до 16 тонн,Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,18071,18105,145,235,,100,,,,,,,,
01.01.2021 19:00:00,010062*,А742УА152,Бортовые а/м г/п до 10 тонн,Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,5968,5968,,,,,,,,,,,,
01.01.2021 19:00:00,013425//,С032АР152,Самосвалы для перевозки грузов весом до 15 тонн,Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,36847,36938,165,119,,,,,,,,,,
01.01.2021 19:00:00,013442//,О799АВ 152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,31812,31819,54,48,,,,,,,,,,
01.01.2021 19:00:00,013443//,Р103ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,27149,27169,37,36,,,,,,,,,,
01.01.2021 19:00:00,013443//,Р103ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,27149,27169,363,357,20,,,,,,,,,
01.01.2021 19:00:00,013444//,К360ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,328318,328442,49,23,,,,,,,,,,
01.01.2021 19:00:00,013447//,О173АК152,АСМ,Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,39341,39341,,,,,,,,,,,,
01.01.2021 19:00:00,013448//,О082ХМ152,Гидравлические станции (мастерские),Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,19145,19177,62,53,,,,,,,,,,
01.01.2021 19:00:00,013449//,С587МУ152,Самосвалы для перевозки грузов весом до 15 тонн,Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,8981,8988,137,128,,,,,,,,,,
01.01.2021 19:00:00,013466//,О351АЕ 152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,80482,80516,44,35,,,,,,,,,,
01.01.2021 19:00:00,016831//,К357ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,383995,384023,45,36,,,,,,,,,,
01.01.2021 19:00:00,"028613***""",К362ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,293126,293179,39,29,,,,,,,,,,
01.01.2021 19:00:00,"028764***""",С963АМ152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,37253,37264,4,3,,,,,,,,,,
01.01.2021 19:00:00,"028764***""",С963АМ152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,37253,37264,211,207,11,,,,,,,,,
01.01.2021 19:00:00,"029162***""",О540УН152,Самосвалы для перевозки грузов весом до 15 тонн,Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,85265,85301,173,154,,,,,,,,,,
01.01.2021 19:00:00,"029416***""",К218ОТ152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,99089,99144,48,33,,,,,,,,,,
01.01.2021 19:00:00,"029427***""",К355ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,82440,82527,41,25,,,,,,,,,,
01.01.2021 19:00:00,029567*,К856СХ152,"АРТК с оборудованием на базе а/м г/м от 3,5тн",Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,63795,63795,,,,,,,,,,,,
01.01.2021 19:00:00,"029704***""",О016АВ152,АСМ,Водитель,01.01.2021 19:00:00,02.01.2021 7:00:00,45084,45096,50,45,,,,,,,,,,
02.01.2021 7:00:00,"000238***""",6806НР52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,11218,11225,80,49,,,,,,,,,,
02.01.2021 7:00:00,000291*,7194НР52,Тракторы с навесным оборудованием (баровая),Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,5772,5773,40,35,,,,,,,,,,
02.01.2021 7:00:00,000336*,62-09НН52,Тракторы с навесным оборудованием (насос),Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,8246,8246,,,,,,,,,,,,
02.01.2021 7:00:00,002441//,62-90НК52,Тракторы с навесным оборудованием (насос),Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,22877,22877,,,,,,,,,,,,
02.01.2021 7:00:00,002442//,6807НР52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,12104,12111,90,57,,,,,,,,,,
02.01.2021 7:00:00,002444//,5913НР52,Тракторы с навесным оборудованием (насос),Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,19674,19675,44,41,,,,,,,,,,
02.01.2021 7:00:00,002445//,6810НР52,"Экскаваторы-погрузчики ковши: 1куб.м/ 0,5 куб.м",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,15602,15603,86,76,,,,,,,,,,
02.01.2021 7:00:00,009722//,С988АМ152,Автокраны до 16 тонн,Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,18105,18127,235,204,,,,,,,,,,
02.01.2021 7:00:00,009777//,С770СА152,Манипуляторы бортовые г/п до 5 тонн,Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,5464,5464,,,,,,,,,,,,
02.01.2021 7:00:00,010078*,А742УА152,Бортовые а/м г/п до 10 тонн,Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,5968,5968,,,,,,,,,,,,
02.01.2021 7:00:00,013451//,С032АР152,Самосвалы для перевозки грузов весом до 15 тонн,Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,36938,36980,119,195,,100,,,,,,,,
02.01.2021 7:00:00,013452//,К360ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,328442,328492,23,14,,,,,,,,,,
02.01.2021 7:00:00,013453//,С315ВО152,Подпиточные машины,Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,4440,4440,,,,,,,,,,,,
02.01.2021 7:00:00,013454//,О799АВ 152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,31819,31837,48,42,,,,,,,,,,
02.01.2021 7:00:00,013455//,О351АЕ 152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,80516,80557,35,27,,,,,,,,,,
02.01.2021 7:00:00,013456//,О173АК152,АСМ,Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,39341,39381,58,36,,,,,,,,,,
02.01.2021 7:00:00,013457//,О082ХМ152,Гидравлические станции (мастерские),Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,19177,19192,53,49,,,,,,,,,,
02.01.2021 7:00:00,013458//,Р103ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,27169,27190,36,35,,,,,,,,,,
02.01.2021 7:00:00,013458//,Р103ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,27169,27190,357,350,21,,,,,,,,,
02.01.2021 7:00:00,013534//,К352ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,383130,383250,19,34,,40,,,,,,,,
02.01.2021 7:00:00,016828//,К357ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,384023,384041,36,29,,,,,,,,,,
02.01.2021 7:00:00,"029052***""",К355ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,82527,82589,25,44,,30,,,,,,,,
02.01.2021 7:00:00,"029125***""",С517АМ152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,02.01.2021 7:00:00,02.01.2021 16:30:00,33369,33428,36,35,,,,,,,,,,
02.01.2021 7:00:00,"029125***""",С517АМ152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,02.01.2021 7:00:00,02.01.2021 16:30:00,33369,33428,144,131,59,,,,,,,,,
02.01.2021 7:00:00,"029266***""",К356ОР152,Бортовые а/м г/п до 10 тонн,Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,99490,99490,,,,,,,,,,,,
02.01.2021 7:00:00,029569*,К856СХ152,"АРТК с оборудованием на базе а/м г/м от 3,5тн",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,63795,63795,,,,,,,,,,,,
02.01.2021 7:00:00,"029654***""",К218ОТ152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,99144,99185,33,24,,,,,,,,,,
02.01.2021 7:00:00,"029705***""",О016АВ152,АСМ,Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,45096,45096,,,,,,,,,,,,
02.01.2021 7:00:00,"029710***""",О540УН152,Самосвалы для перевозки грузов весом до 15 тонн,Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,85301,85381,154,118,,,,,,,,,,
02.01.2021 7:00:00,"029724***""",О079ХМ152,Гидравлические станции (мастерские),Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,27022,27042,69,64,,,,,,,,,,
02.01.2021 7:00:00,"029735***""",К362ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,293179,293303,29,36,,30,,,,,,,,
02.01.2021 7:00:00,"029741***""",С963АМ152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,37264,37313,207,257,49,66.4,,,,,,,,
02.01.2021 7:00:00,"581***""",2046НТ52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,02.01.2021 7:00:00,02.01.2021 19:00:00,1016,1016,,,,,,,,,,,,
02.01.2021 7:30:00,"000214***""",7895АА52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,02.01.2021 7:30:00,02.01.2021 16:30:00,2668,2676,95,56,,,,,,,,,,
02.01.2021 7:40:00,"029496***""",Р071ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,02.01.2021 7:40:00,02.01.2021 19:40:00,22802,22851,88,123,49,51.1,,,,,,,,
02.01.2021 7:40:00,"029548***""",Р049ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,02.01.2021 7:40:00,02.01.2021 19:50:00,23858,23913,111,93,55,,,,,,,,,
02.01.2021 7:50:00,"029685***""",О840ХМ152,"Автофургон с электролабораторией г/м от 3,5тн",Водитель,02.01.2021 7:50:00,02.01.2021 16:30:00,28533,28558,98,88,,,,,,,,,,
02.01.2021 19:00:00,"000239***""",6806НР52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,11225,11231,49,27,,4,,,,,,,,
02.01.2021 19:00:00,000292*,7194НР52,Тракторы с навесным оборудованием (баровая),Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,5773,5773,,,,,,,,,,,,
02.01.2021 19:00:00,002446//,6807НР52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,12111,12117,57,29,,,,,,,,,,
02.01.2021 19:00:00,002447//,5913НР52,Тракторы с навесным оборудованием (насос),Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,19675,19677,41,36,,,,,,,,,,
02.01.2021 19:00:00,002448//,6810НР52,"Экскаваторы-погрузчики ковши: 1куб.м/ 0,5 куб.м",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,15603,15611,76,147,,150,,,,,,,,
02.01.2021 19:00:00,010073*,А742УА152,Бортовые а/м г/п до 10 тонн,Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,5968,5968,,,,,,,,,,,,
02.01.2021 19:00:00,013459//,С315ВО152,Подпиточные машины,Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,4440,4440,,,,,,,,,,,,
02.01.2021 19:00:00,013467//,О351АЕ 152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,80557,80611,27,14,,,,,,,,,,
02.01.2021 19:00:00,016827//,К357ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,384041,384055,29,23,,,,,,,,,,
02.01.2021 19:00:00,028432//,О082ХМ152,Гидравлические станции (мастерские),Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,19192,19192,,,,,,,,,,,,
02.01.2021 19:00:00,028433//,Р103ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,27190,27218,35,34,,,,,,,,,,
02.01.2021 19:00:00,028433//,Р103ТК152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,27190,27218,350,341,28,,,,,,,,,
02.01.2021 19:00:00,028434//,С032АР152,Самосвалы для перевозки грузов весом до 15 тонн,Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,36980,37052,195,155,,,,,,,,,,
02.01.2021 19:00:00,028435//,О173АК152,АСМ,Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,39381,39381,,,,,,,,,,,,
02.01.2021 19:00:00,028436//,О799АВ 152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,31837,31845,42,36,,,,,,,,,,
02.01.2021 19:00:00,028437//,К360ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,328492,328541,14,42,,40,,,,,,,,
02.01.2021 19:00:00,028438//,К352ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,383250,383363,34,13,,,,,,,,,,
02.01.2021 19:00:00,"029431***""",О540УН152,Самосвалы для перевозки грузов весом до 15 тонн,Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,85381,85427,118,101,,,,,,,,,,
02.01.2021 19:00:00,"029543***""",С963АМ152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,37313,37361,3,2,,,,,,,,,,
02.01.2021 19:00:00,"029543***""",С963АМ152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,37313,37361,257,242,48,,,,,,,,,
02.01.2021 19:00:00,029572*,К856СХ152,"АРТК с оборудованием на базе а/м г/м от 3,5тн",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,63795,63795,,,,,,,,,,,,
02.01.2021 19:00:00,"029667***""",К355ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,82589,82661,44,31,,,,,,,,,,
02.01.2021 19:00:00,"029706***""",О016АВ152,АСМ,Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,45096,45107,45,38,,,,,,,,,,
02.01.2021 19:00:00,"029716***""",К218ОТ152,"АРТК с оборудованием на базе а/м г/м до 3,5тн",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,99185,99241,24,67,,60,,,,,,,,
02.01.2021 19:00:00,"029725***""",О079ХМ152,Гидравлические станции (мастерские),Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,27042,27053,64,57,,,,,,,,,,
02.01.2021 19:00:00,"029734***""",К362ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,02.01.2021 19:00:00,03.01.2021 7:00:00,293303,293389,36,20,,,,,,,,,,
03.01.2021 7:00:00,"000240***""",6806НР52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,11231,11236,27,75,,70,,,,,,,,
03.01.2021 7:00:00,000293*,7194НР52,Тракторы с навесным оборудованием (баровая),Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,5773,5773,,,,,,,,,,,,
03.01.2021 7:00:00,000337*,62-09НН52,Тракторы с навесным оборудованием (насос),Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,8246,8255,100,75,,,,,,,,,,
03.01.2021 7:00:00,002449//,5913НР52,Тракторы с навесным оборудованием (насос),Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,19677,19679,36,80,,50,,,,,,,,
03.01.2021 7:00:00,002450//,6807НР52,"Экскаваторы-погрузчики ковши: 1 куб.м/0,25 куб.м",Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,12117,12120,29,84,,70,,,,,,,,
03.01.2021 7:00:00,003763//,К352ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,383363,383449,13,27,,30,,,,,,,,
03.01.2021 7:00:00,006040//,6810НР52,"Экскаваторы-погрузчики ковши: 1куб.м/ 0,5 куб.м",Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,15611,15611,,,,,,,,,,,,
03.01.2021 7:00:00,009778//,С770СА152,Манипуляторы бортовые г/п до 5 тонн,Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,5464,5485,215,207,,,,,,,,,,
03.01.2021 7:00:00,009801//,С988АМ152,Автокраны до 16 тонн,Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,18127,18127,,,,,,,,,,,,
03.01.2021 7:00:00,010068*,А742УА152,Бортовые а/м г/п до 10 тонн,Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,5968,5968,,,,,,,,,,,,
03.01.2021 7:00:00,"012601***""",К355ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,82661,82781,31,30,,25,,,,,,,,
03.01.2021 7:00:00,013468//,О351АЕ 152,"АРТК с оборудованием на базе а/м г/м до 3,5тн (с.)",Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,80611,80638,14,46,,40,,,,,,,,
03.01.2021 7:00:00,016160//,К360ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,328541,328584,42,31,,,,,,,,,,
03.01.2021 7:00:00,028439//,К357ОР152,"Автомобили грузопассажирские г/п до 3,5 тн 5 мест",Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,384055,384097,23,10,,,,,,,,,,
03.01.2021 7:00:00,028464//,Р765СЕ152,АСМ,Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,10326,10344,74,64,,,,,,,,,,
03.01.2021 7:00:00,028465//,С315ВО152,Подпиточные машины,Водитель,03.01.2021 7:00:00,03.01.2021 19:00:00,4440,4440,,,,,,,,,,,,
